SIM_TIME,YEAR,NODE_ID,REL_ID,REL_TYPE (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,SRC_ID,SRC_INFECTED,SRC_GENDER,SRC_AGE,SRC_IP,SRC_current_relationship_count,SRC_lifetime_relationship_count,SRC_relationships_in_last_6_months,SRC_FLAGS,SRC_CIRCUMSIZED,SRC_STI,SRC_SUPERSPREADER,SRC_INF_AGE,DEST_ID,DEST_INFECTED,DEST_GENDER,DEST_AGE,DEST_IP,DEST_current_relationship_count,DEST_lifetime_relationship_count,DEST_relationships_in_last_6_months,DEST_FLAGS,DEST_CIRCUMSIZED,DEST_STI,DEST_SUPERSPREADER
45,1960.62,1,603,0,0,16991,1,0,5566.75,"",1,1,1,0,0,0,0,5522.75,5450,1,1,7716.61,"",1,1,1,0,0,0,0
45,1960.62,1,604,0,0,17134,1,0,7114.97,"",1,1,1,0,0,0,0,7070.97,10825,1,1,10511.9,"",1,1,1,0,0,0,0
45,1960.62,1,605,1,0,5751,1,1,6394.67,"",1,1,1,0,0,0,0,6349.67,12807,1,0,10079.8,"",1,1,1,0,0,0,0
46,1960.63,1,609,0,0,8625,1,1,7203.42,"",1,1,1,0,0,0,0,7158.42,3544,1,0,9254.08,"",1,1,1,0,0,0,0
46,1960.63,1,618,1,0,10391,1,1,6515.66,"",1,1,1,0,0,0,0,6470.66,4419,1,0,7883.12,"",1,1,1,0,0,0,0
46,1960.63,1,611,0,0,15784,1,1,5695.12,"",1,1,1,0,0,0,0,5650.12,7297,1,0,7971.17,"",1,1,1,0,0,0,0
47,1960.63,1,626,1,0,5829,1,0,6357.35,"",1,1,1,0,0,0,0,6311.35,3087,1,1,8392.06,"",1,1,1,0,0,0,0
47,1960.63,1,627,1,0,5306,1,1,6395.2,"",1,1,1,0,0,0,0,6348.2,5849,1,0,8434.88,"",1,1,1,0,0,0,0
47,1960.63,1,632,1,0,8237,1,1,6344.07,"",1,1,1,0,0,0,0,6298.07,7034,1,0,8969.63,"",1,1,1,0,0,0,0
47,1960.63,1,629,1,0,11990,1,1,6689.81,"",1,2,2,0,0,0,0,6643.81,8907,1,0,10220.8,"",1,1,1,0,0,0,0
47,1960.63,1,622,0,0,5895,1,0,6669.1,"",1,1,1,0,0,0,0,6622.1,9212,1,1,7528.96,"",1,1,1,0,0,0,0
47,1960.63,1,621,0,0,15555,1,1,7002.84,"",1,1,1,0,0,0,0,6955.84,16380,1,0,7826.19,"",1,1,1,0,0,0,0
47,1960.63,1,623,0,0,1600,1,1,5791.67,"",1,1,1,0,0,0,0,5744.67,16894,1,0,8080.91,"",1,1,1,0,0,0,0
48,1960.63,1,641,1,0,12369,1,0,6505.43,"",1,1,1,0,0,0,0,6458.43,5083,1,1,7836.86,"",1,1,1,0,0,0,0
48,1960.63,1,635,0,0,9508,1,1,6218.93,"",1,1,1,0,0,0,0,6171.93,7559,1,0,7492.83,"",1,1,1,0,0,0,0
48,1960.63,1,647,1,0,4890,1,1,6433.37,"",1,1,1,0,0,0,0,6385.37,10211,1,0,7485.55,"",1,1,1,0,0,0,0
48,1960.63,1,649,1,0,15413,1,1,6720.23,"",1,1,1,0,0,0,0,6673.23,14167,1,0,8744.91,"",1,1,1,0,0,0,0
48,1960.63,1,642,1,0,8927,1,1,6014.93,"",1,1,1,0,0,0,0,5966.93,16470,1,0,8263.24,"",1,1,1,0,0,0,0
49,1960.63,1,664,1,0,5053,1,1,6138.19,"",1,1,1,0,0,0,0,6089.19,6500,1,0,8054.95,"",1,1,1,0,0,0,0
50,1960.64,1,667,0,0,13323,1,1,6792.16,"",1,1,1,0,0,0,0,6743.16,4606,1,0,9538.78,"",1,1,1,0,0,0,0
50,1960.64,1,668,0,0,15172,1,1,6124.11,"",1,1,1,0,0,0,0,6075.11,7571,1,0,8122.83,"",1,1,1,0,0,0,0
50,1960.64,1,671,0,0,977,1,1,6762.69,"",1,1,1,0,0,0,0,6712.69,11108,1,0,8711.79,"",1,1,1,0,0,0,0
50,1960.64,1,673,1,0,3684,1,1,6843.44,"",1,1,1,0,0,0,0,6793.44,14143,1,0,9326.29,"",1,1,1,0,0,0,0
50,1960.64,1,679,1,0,12116,1,1,6983.39,"",1,1,1,0,0,0,0,6933.39,15250,1,0,5303.59,"",1,1,1,0,0,0,0
51,1960.64,1,681,0,0,2976,1,0,6435.14,"",1,1,1,0,0,0,0,6384.14,7350,1,1,7621.22,"",1,1,1,0,0,0,0
51,1960.64,1,682,0,0,3990,1,0,7036.24,"",1,1,1,0,0,0,0,6985.24,9987,1,1,8805.71,"",1,1,1,0,0,0,0
51,1960.64,1,684,0,0,1809,1,1,6188.44,"",1,1,1,0,0,0,0,6137.44,12753,1,0,9154.82,"",1,1,1,0,0,0,0
52,1960.64,1,693,1,0,6240,1,1,6903.68,"",1,1,1,0,0,0,0,6852.68,812,1,0,7532.1,"",1,1,1,0,0,0,0
52,1960.64,1,690,1,0,6065,1,1,7245.74,"",1,1,1,0,0,0,0,7194.74,4891,1,0,10292.7,"",1,1,1,0,0,0,0
53,1960.65,1,707,1,0,7291,1,1,6336.41,"",1,1,1,0,0,0,0,6284.41,65,1,0,7896.07,"",1,1,1,0,0,0,0
53,1960.65,1,696,0,0,7835,1,1,5804.25,"",1,1,1,0,0,0,0,5752.25,2825,1,0,6385.61,"",1,1,1,0,0,0,0
53,1960.65,1,706,1,0,17196,1,0,6939.51,"",1,1,1,0,0,0,0,6887.51,4531,1,1,6107.91,"",1,1,1,0,0,0,0
53,1960.65,1,700,0,0,11364,1,1,7061.79,"",1,1,1,0,0,0,0,7008.79,11454,1,0,9623.53,"",1,1,1,0,0,0,0
54,1960.65,1,710,0,0,1920,1,1,6992.1,"",1,1,1,0,0,0,0,6938.1,8263,1,0,11344,"",1,1,1,0,0,0,0
56,1960.65,1,729,0,0,8132,1,1,6307.11,"",1,1,1,0,0,0,0,6252.11,291,1,0,8040.79,"",1,1,1,0,0,0,0
56,1960.65,1,735,0,0,9378,1,0,6140.8,"",1,1,1,0,0,0,0,6085.8,2508,1,1,7976.6,"",1,1,1,0,0,0,0
56,1960.65,1,731,0,0,7173,1,1,7099.11,"",1,1,1,0,0,0,0,7044.11,3419,1,0,7635.32,"",1,1,1,0,0,0,0
56,1960.65,1,738,1,0,4000,1,1,6256.23,"",1,1,1,0,0,0,0,6200.23,11506,1,0,9999.35,"",1,1,1,0,0,0,0
56,1960.65,1,733,0,0,7126,1,0,6767.15,"",1,1,1,0,0,0,0,6711.15,12435,1,1,5525.11,"",1,1,1,0,0,0,0
56,1960.65,1,736,0,0,15809,1,0,6699.15,"",1,1,1,0,0,0,0,6643.15,16989,1,1,8948.13,"",1,1,1,0,0,0,0
56,1960.65,1,740,1,0,12520,1,1,5770.04,"",1,1,1,0,0,0,0,5714.04,17049,1,0,7736.75,"",1,1,1,0,0,0,0
57,1960.66,1,749,1,0,8427,1,1,5888.05,"",1,1,1,0,0,0,0,5832.05,1971,1,0,9625.84,"",1,1,1,0,0,0,0
57,1960.66,1,747,0,0,16928,1,0,6319.37,"",1,1,1,0,0,0,0,6263.37,10625,1,1,7800.73,"",1,1,1,0,0,0,0
57,1960.66,1,746,0,0,3903,1,1,6287.94,"",1,1,1,0,0,0,0,6230.94,15024,1,0,8372.02,"",1,1,1,0,0,0,0
58,1960.66,1,757,0,0,14738,1,1,5799.46,"",1,1,1,0,0,0,0,5742.46,4342,1,0,7558.7,"",1,1,1,0,0,0,0
58,1960.66,1,758,0,0,10555,1,1,7291.3,"",1,1,1,0,0,0,0,7234.3,10177,1,0,8703.03,"",1,1,1,0,0,0,0
58,1960.66,1,759,1,0,16840,1,1,5936.33,"",1,1,1,0,0,0,0,5879.33,12216,1,0,10342,"",1,1,1,0,0,0,0
59,1960.66,1,765,0,0,1085,1,1,5966.47,"",1,1,1,0,0,0,0,5908.47,549,1,0,8061.36,"",1,1,1,0,0,0,0
59,1960.66,1,768,0,0,414,1,1,6634.19,"",1,1,1,0,0,0,0,6575.19,5667,1,0,9790.98,"",1,1,1,0,0,0,0
59,1960.66,1,771,0,0,6643,1,1,5834.81,"",1,1,1,0,0,0,0,5775.81,10006,1,0,8600.71,"",1,1,1,0,0,0,0
59,1960.66,1,774,1,0,15102,1,1,5540.66,"",1,1,1,0,0,0,0,5482.66,11776,1,0,8531.87,"",1,1,1,0,0,0,0
60,1960.66,1,782,0,0,7446,1,0,8624.29,"",1,2,2,0,0,0,0,8585.29,6983,1,1,7915.46,"",1,1,1,0,0,0,0
61,1960.67,1,793,0,0,8755,1,1,6540.71,"",1,1,1,0,0,0,0,6480.71,4721,1,0,8936.53,"",1,1,1,0,0,0,0
61,1960.67,1,791,0,0,3919,1,0,6012.99,"",1,1,1,0,0,0,0,5951.99,8908,1,1,8915.1,"",1,1,1,0,0,0,0
61,1960.67,1,799,1,0,4206,1,1,6760.73,"",1,1,1,0,0,0,0,6699.73,12458,1,0,7941.39,"",1,1,1,0,0,0,0
62,1960.67,1,809,1,0,11450,1,1,6229.44,"",1,1,1,0,0,0,0,6168.44,10916,1,0,8581.76,"",1,1,1,0,0,0,0
63,1960.67,1,813,0,0,15003,1,1,6652.33,"",1,1,1,0,0,0,0,6590.33,4963,1,0,8810,"",1,1,1,0,0,0,0
63,1960.67,1,814,0,0,5869,1,1,6756.59,"",1,1,1,0,0,0,0,6694.59,5674,1,0,7900.39,"",1,1,1,0,0,0,0
63,1960.67,1,823,1,0,15139,1,1,6221.05,"",1,1,1,0,0,0,0,6159.05,12105,1,0,8380.66,"",1,1,1,0,0,0,0
64,1960.68,1,829,0,0,8614,1,1,7254.94,"",1,1,1,0,0,0,0,7191.94,2074,1,0,7627.72,"",1,1,1,0,0,0,0
64,1960.68,1,837,2,0,15474,1,1,6922.62,"",1,1,1,0,0,0,0,6859.62,7900,1,0,8232.6,"",1,1,1,0,0,0,0
64,1960.68,1,830,1,0,3963,1,0,6303.34,"",1,1,1,0,0,0,0,6239.34,7912,1,1,7668.42,"",1,1,1,0,0,0,0
65,1960.68,1,838,0,0,3354,1,0,6424.71,"",1,1,1,0,0,0,0,6359.71,5445,1,1,9044.24,"",1,1,1,0,0,0,0
66,1960.68,1,843,0,0,8892,1,1,6372.52,"",1,1,1,0,0,0,0,6307.52,4185,1,0,9085.67,"",1,1,1,0,0,0,0
66,1960.68,1,844,0,0,1908,1,1,6028.86,"",1,1,1,0,0,0,0,5962.86,9854,1,0,10558.2,"",1,1,1,0,0,0,0
67,1960.68,1,857,1,0,8242,1,1,6427.78,"",1,1,1,0,0,0,0,6361.78,1239,1,0,7798.14,"",1,1,1,0,0,0,0
67,1960.68,1,858,1,0,12974,1,1,7340.48,"",1,1,1,0,0,0,0,7274.48,9322,1,0,9653.9,"",1,1,1,0,0,0,0
67,1960.68,1,855,0,0,10173,1,1,6693.4,"",1,1,1,0,0,0,0,6626.4,11711,1,0,5609.06,"",1,1,1,0,0,0,0
67,1960.68,1,851,0,0,3460,1,0,6051.65,"",1,1,1,0,0,0,0,5984.65,13549,1,1,8576.06,"",1,1,1,0,0,0,0
68,1960.69,1,861,0,0,1633,1,0,6469.84,"",1,1,1,0,0,0,0,6401.84,2986,1,1,6378.44,"",1,1,1,0,0,0,0
68,1960.69,1,869,1,0,4084,1,0,6711.85,"",1,1,1,0,0,0,0,6644.85,3300,1,1,8143.36,"",1,1,1,0,0,0,0
68,1960.69,1,865,0,0,17110,1,0,6683.79,"",1,1,1,0,0,0,0,6616.79,6741,1,1,8454.64,"",1,1,1,0,0,0,0
68,1960.69,1,871,1,0,11688,1,1,6412.93,"",1,1,1,0,0,0,0,6345.93,7807,1,0,8948.46,"",1,1,1,0,0,0,0
68,1960.69,1,864,0,0,14944,1,1,5939.25,"",1,1,1,0,0,0,0,5872.25,10325,1,0,9723.58,"",1,1,1,0,0,0,0
69,1960.69,1,889,1,0,16386,1,1,5794.47,"",1,1,1,0,0,0,0,5726.47,12143,1,0,9107.46,"",1,1,1,0,0,0,0
69,1960.69,1,876,0,0,6167,1,0,7143.66,"",1,1,1,0,0,0,0,7074.66,14439,1,1,9439.76,"",1,1,1,0,0,0,0
69,1960.69,1,886,1,0,10382,1,1,5954.34,"",1,1,1,0,0,0,0,5885.34,15914,1,0,8311.94,"",1,1,1,0,0,0,0
70,1960.69,1,902,1,0,13315,1,1,6627.1,"",1,1,1,0,0,0,0,6558.1,2495,1,0,8129.88,"",1,1,1,0,0,0,0
70,1960.69,1,894,0,0,10057,1,1,7081.52,"",1,1,1,0,0,0,0,7012.52,7656,1,0,8754.31,"",1,1,1,0,0,0,0
70,1960.69,1,899,1,0,8825,1,1,7210.35,"",1,1,1,0,0,0,0,7140.35,9257,1,0,9196.4,"",1,1,1,0,0,0,0
70,1960.69,1,896,0,0,12113,1,0,6293.87,"",1,1,1,0,0,0,0,6224.87,11695,1,1,9121.17,"",1,1,1,0,0,0,0
71,1960.69,1,903,0,0,281,1,1,7109.42,"",1,1,1,0,0,0,0,7038.42,866,1,0,6459.31,"",1,1,1,0,0,0,0
71,1960.69,1,912,1,0,6323,1,1,6411.1,"",1,1,1,0,0,0,0,6340.1,7527,1,0,10250.2,"",1,2,2,0,0,0,0
72,1960.7,1,918,0,0,13935,1,1,6799.95,"",1,1,1,0,0,0,0,6728.95,3090,1,0,8951.92,"",1,1,1,0,0,0,0
72,1960.7,1,915,0,0,519,1,0,6201.36,"",1,1,1,0,0,0,0,6129.36,5691,1,1,7793.76,"",1,1,1,0,0,0,0
72,1960.7,1,919,0,0,16763,1,0,6114.3,"",1,1,1,0,0,0,0,6043.3,10995,1,1,8161.87,"",1,1,1,0,0,0,0
73,1960.7,1,924,0,0,6760,1,1,7320.28,"",1,1,1,0,0,0,0,7247.28,14252,1,0,10024,"",1,1,1,0,0,0,0
74,1960.7,1,929,0,0,2984,1,1,6172.03,"",1,1,1,0,0,0,0,6098.03,4849,1,0,8021.35,"",1,1,1,0,0,0,0
74,1960.7,1,931,0,0,13641,1,1,7307.18,"",1,1,1,0,0,0,0,7234.18,6535,1,0,9103.68,"",1,1,1,0,0,0,0
75,1960.71,1,950,0,0,6063,1,1,6897.42,"",1,1,1,0,0,0,0,6822.42,17263,1,0,8189.18,"",1,1,1,0,0,0,0
76,1960.71,1,960,1,0,6474,1,1,6211.31,"",1,1,1,0,0,0,0,6136.31,1551,1,0,8176.6,"",1,1,1,0,0,0,0
76,1960.71,1,952,0,0,8576,1,1,6359.19,"",1,1,1,0,0,0,0,6284.19,1870,1,0,7730.96,"",1,1,1,0,0,0,0
76,1960.71,1,953,0,0,16393,1,1,7152.91,"",1,1,1,0,0,0,0,7077.91,1899,1,0,9629.42,"",1,1,1,0,0,0,0
76,1960.71,1,956,0,0,10202,1,0,5931.87,"",1,1,1,0,0,0,0,5856.87,5942,1,1,8841.43,"",1,1,1,0,0,0,0
76,1960.71,1,962,1,0,16644,1,1,6706.28,"",1,1,1,0,0,0,0,6631.28,7792,1,0,8773.32,"",1,1,1,0,0,0,0
77,1960.71,1,971,0,0,12796,1,0,6533.9,"",1,1,1,0,0,0,0,6457.9,4999,1,1,7537.88,"",1,1,1,0,0,0,0
77,1960.71,1,965,0,0,4346,1,1,6868.49,"",1,1,1,0,0,0,0,6791.49,6220,1,0,9760.29,"",1,1,1,0,0,0,0
77,1960.71,1,966,0,0,7670,1,0,6798.35,"",1,1,1,0,0,0,0,6721.35,10333,1,1,5277.64,"",1,1,1,0,0,0,0
77,1960.71,1,970,0,0,10872,1,1,5563.79,"",1,1,1,0,0,0,0,5486.79,11570,1,0,9370.37,"",1,1,1,0,0,0,0
77,1960.71,1,964,0,0,6006,1,0,6306,"",1,1,1,0,0,0,0,6229,12351,1,1,7611.01,"",1,1,1,0,0,0,0
78,1960.71,1,987,1,0,1353,1,1,6694.48,"",1,1,1,0,0,0,0,6616.48,2430,1,0,9476.06,"",1,1,1,0,0,0,0
80,1960.72,1,1002,0,0,3861,1,1,6318.13,"",1,1,1,0,0,0,0,6239.13,1449,1,0,9082.53,"",1,1,1,0,0,0,0
80,1960.72,1,1010,1,0,1442,1,1,7355.89,"",1,1,1,0,0,0,0,7275.89,4738,1,0,10225,"",1,1,1,0,0,0,0
80,1960.72,1,1005,0,0,11992,1,0,6263.63,"",1,1,1,0,0,0,0,6184.63,8695,1,1,7694.9,"",1,1,1,0,0,0,0
80,1960.72,1,1012,1,0,13775,1,1,6700.04,"",1,1,1,0,0,0,0,6621.04,8777,1,0,12854,"",1,1,1,0,0,0,0
80,1960.72,1,1004,0,0,6382,1,1,5719.13,"",1,1,1,0,0,0,0,5639.13,9112,1,0,9006.88,"",1,1,1,0,0,0,0
80,1960.72,1,1008,0,0,16033,1,1,6006.53,"",1,1,1,0,0,0,0,5927.53,9982,1,0,10395.9,"",1,1,1,0,0,0,0
80,1960.72,1,1009,0,0,15644,1,0,7204.55,"",1,1,1,0,0,0,0,7125.55,12662,1,1,7036.36,"",1,1,1,0,0,0,0
81,1960.72,1,1021,0,0,11422,1,1,7165.37,"",1,1,1,0,0,0,0,7085.37,6179,1,0,8841.65,"",1,1,1,0,0,0,0
81,1960.72,1,1026,1,0,9785,1,1,6433.56,"",1,1,1,0,0,0,0,6352.56,12189,1,0,7061.61,"",1,1,1,0,0,0,0
82,1960.72,1,1031,0,0,6079,1,1,6277.87,"",1,1,1,0,0,0,0,6195.87,12581,1,0,7383.95,"",1,1,1,0,0,0,0
83,1960.73,1,1042,0,0,10154,1,0,5879.23,"",1,1,1,0,0,0,0,5797.23,6203,1,1,6959.59,"",1,1,1,0,0,0,0
83,1960.73,1,1041,0,0,5406,1,1,5695.08,"",1,1,1,0,0,0,0,5612.08,8438,1,0,8202.6,"",1,1,1,0,0,0,0
83,1960.73,1,1050,1,0,5168,1,1,6332.64,"",1,1,1,0,0,0,0,6249.64,11099,1,0,8262.87,"",1,1,1,0,0,0,0
83,1960.73,1,1046,1,0,2816,1,1,6716.08,"",1,2,2,0,0,0,0,6633.08,11602,1,0,11424.4,"",1,1,1,0,0,0,0
83,1960.73,1,1049,1,0,14949,1,1,6770.72,"",1,1,1,0,0,0,0,6687.72,16500,1,0,8560.02,"",1,1,1,0,0,0,0
84,1960.73,1,1054,0,0,9493,1,1,6995.78,"",1,1,1,0,0,0,0,6912.78,4771,1,0,7769.42,"",1,1,1,0,0,0,0
84,1960.73,1,1057,0,0,14290,1,1,6657.88,"",1,1,1,0,0,0,0,6574.88,13105,1,0,10343.6,"",1,1,1,0,0,0,0
85,1960.73,1,1073,1,0,15949,1,0,6758.86,"",1,1,1,0,0,0,0,6674.86,256,1,1,5949.72,"",1,1,1,0,0,0,0
85,1960.73,1,1078,1,0,6389,1,1,7203.72,"",1,1,1,0,0,0,0,7119.72,276,1,0,8937.38,"",1,1,1,0,0,0,0
85,1960.73,1,1065,0,0,7388,1,1,5687.61,"",1,1,1,0,0,0,0,5603.61,6524,1,0,8688.49,"",1,1,1,0,0,0,0
85,1960.73,1,1066,0,0,9690,1,1,6774.57,"",1,1,1,0,0,0,0,6690.57,8389,1,0,7695.22,"",1,1,1,0,0,0,0
85,1960.73,1,1067,0,0,10438,1,1,7144.83,"",1,1,1,0,0,0,0,7059.83,10540,1,0,8356.58,"",1,1,1,0,0,0,0
86,1960.74,1,1091,1,0,2147,1,1,7266.21,"",1,2,2,0,0,0,0,7181.21,344,1,0,9790.55,"",1,1,1,0,0,0,0
86,1960.74,1,1093,1,0,522,1,1,5906.52,"",1,1,1,0,0,0,0,5820.52,1048,1,0,8550.49,"",1,1,1,0,0,0,0
86,1960.74,1,1080,0,0,98,1,1,6535.29,"",1,1,1,0,0,0,0,6449.29,1616,1,0,9817.72,"",1,1,1,0,0,0,0
86,1960.74,1,1088,0,0,6893,1,1,5886.23,"",1,1,1,0,0,0,0,5800.23,15820,1,0,8750.61,"",1,1,1,0,0,0,0
87,1960.74,1,1104,1,0,6228,1,1,7343.56,"",1,1,1,0,0,0,0,7256.56,11063,1,0,7553.46,"",1,1,1,0,0,0,0
87,1960.74,1,1099,0,0,10434,1,1,6309.19,"",1,1,1,0,0,0,0,6222.19,13166,1,0,9567.2,"",1,1,1,0,0,0,0
87,1960.74,1,1100,0,0,4191,1,1,6798.78,"",1,1,1,0,0,0,0,6711.78,13521,1,0,8079.17,"",1,1,1,0,0,0,0
89,1960.74,1,1114,0,0,2976,1,0,6473.14,"",1,2,2,0,0,0,0,6384.14,9650,1,1,6012.97,"",1,1,1,0,0,0,0
90,1960.75,1,1123,0,0,10810,1,0,6108.41,"",1,1,1,0,0,0,0,6019.41,365,1,1,7054.61,"",1,1,1,0,0,0,0
91,1960.75,1,1134,1,0,9949,1,1,6801.84,"",1,1,1,0,0,0,0,6711.84,4378,1,0,8043.63,"",1,1,1,0,0,0,0
91,1960.75,1,1129,0,0,3282,1,1,5993.17,"",1,2,2,0,0,0,0,5902.17,14407,1,0,9584.83,"",1,1,1,0,0,0,0
92,1960.75,1,1146,1,0,13551,1,1,5787.91,"",1,1,1,0,0,0,0,5696.91,3468,1,0,7562.72,"",1,1,1,0,0,0,0
92,1960.75,1,1138,0,0,10941,1,1,6571.53,"",1,1,1,0,0,0,0,6480.53,10362,1,0,10532.9,"",1,1,1,0,0,0,0
92,1960.75,1,845,1,0,1045,1,1,6331.59,"",1,1,1,0,0,0,0,6239.59,11487,1,0,7191.76,"",1,1,1,0,0,0,0
93,1960.75,1,1147,0,0,16492,1,1,6415.24,"",1,1,1,0,0,0,0,6323.24,2972,1,0,7595.74,"",1,1,1,0,0,0,0
93,1960.75,1,58,0,0,1581,1,0,5430.4,"",1,1,1,0,0,0,0,5342.4,4717,1,1,7259.45,"",1,1,1,0,0,0,0
93,1960.75,1,1151,0,0,1824,1,1,5893.58,"",1,1,1,0,0,0,0,5800.58,13565,1,0,6598.84,"",1,1,1,0,0,0,0
94,1960.76,1,1160,0,0,16877,1,1,6882.51,"",1,1,1,0,0,0,0,6789.51,6509,1,0,8942.09,"",1,1,1,0,0,0,0
94,1960.76,1,1161,0,0,3505,1,1,6015.09,"",1,1,1,0,0,0,0,5921.09,8297,1,0,8194.97,"",1,1,1,0,0,0,0
94,1960.76,1,394,0,0,4408,1,0,7125.24,"",1,1,1,0,0,0,0,7031.24,9990,1,1,6651.51,"",1,1,1,0,0,0,0
95,1960.76,1,1169,0,0,11754,1,0,6291.48,"",1,1,1,0,0,0,0,6197.48,2553,1,1,5802.13,"",1,1,1,0,0,0,0
95,1960.76,1,1167,0,0,7158,1,0,7296.93,"",1,1,1,0,0,0,0,7202.93,5443,1,1,5128.23,"",1,1,1,0,0,0,0
95,1960.76,1,1166,0,0,3605,1,1,5954.31,"",1,1,1,0,0,0,0,5859.31,5973,1,0,8157.79,"",1,1,1,0,0,0,0
95,1960.76,1,961,1,0,3869,1,0,6040.96,"",1,1,1,0,0,0,0,5945.96,6967,1,1,6788,"",1,1,1,0,0,0,0
95,1960.76,1,1168,0,0,10575,1,1,6527.87,"",1,1,1,0,0,0,0,6433.87,8197,1,0,9364.82,"",1,1,1,0,0,0,0
96,1960.76,1,1178,0,0,8570,1,1,6768.2,"",1,1,1,0,0,0,0,6673.2,3070,1,0,8886.58,"",1,1,1,0,0,0,0
96,1960.76,1,1182,1,0,16370,1,1,5631.78,"",1,1,1,0,0,0,0,5536.78,3943,1,0,10133.7,"",1,1,1,0,0,0,0
96,1960.76,1,1180,0,0,5912,1,1,6030.84,"",1,1,1,0,0,0,0,5934.84,15655,1,0,11966.7,"",1,1,1,0,0,0,0
96,1960.76,1,1184,1,0,17238,1,1,7254.79,"",1,1,1,0,0,0,0,7159.79,16113,1,0,8784.28,"",1,1,1,0,0,0,0
97,1960.77,1,1192,0,0,6599,1,1,7333.91,"",1,1,1,0,0,0,0,7237.91,5907,1,0,9443,"",1,1,1,0,0,0,0
97,1960.77,1,1202,1,0,14184,1,1,5586.1,"",1,1,1,0,0,0,0,5490.1,13307,1,0,8825.19,"",1,1,1,0,0,0,0
97,1960.77,1,1201,1,0,1523,1,1,5721.85,"",1,1,1,0,0,0,0,5624.85,13850,1,0,6355.26,"",1,1,1,0,0,0,0
98,1960.77,1,1213,1,0,16735,1,1,6856.14,"",1,1,1,0,0,0,0,6759.14,390,1,0,8212.13,"",1,1,1,0,0,0,0
98,1960.77,1,1215,1,0,15993,1,1,7334.37,"",1,1,1,0,0,0,0,7237.37,2669,1,0,9674.85,"",1,1,1,0,0,0,0
98,1960.77,1,1208,0,0,12237,1,1,6311.78,"",1,1,1,0,0,0,0,6214.78,10198,1,0,8807.08,"",1,1,1,0,0,0,0
98,1960.77,1,1209,0,0,3,1,1,6699.63,"",1,1,1,0,0,0,0,6601.63,12635,1,0,9664.13,"",1,1,1,0,0,0,0
98,1960.77,1,1212,1,0,14639,1,1,7152.39,"",1,1,1,0,0,0,0,7054.39,14804,1,0,9930.34,"",1,1,1,0,0,0,0
99,1960.77,1,1216,0,0,11353,1,0,7065.72,"",1,1,1,0,0,0,0,6966.72,13939,1,1,8120.97,"",1,1,1,0,0,0,0
